0,77
1,77
2,81
3,87
4,106
5,125
6,193
7,305
8,410
9,410
10,1231
11,2052
12,3284
13,5747
14,9442
15,15600
16,33336
17,61171
18,112900
19,183186
20,287382
21,449138
22,696205
23,1081626
24,1661811
25,2572733
26,3960710
27,6087508
28,9393971
29,14420461
30,22217487
31,34095842
32,52542784
33,80804836
34,124224692
35,191329002
36,546594656
37,906426168
38,1475185433
39,2382578029
40,3222377847
41,4913473453
42,7867627593
