0,81
1,78
2,83
3,88
4,101
5,111
6,134
7,178
8,242
9,304
10,416
11,410
12,410
13,821
14,1231
15,2052
16,3284
17,4926
18,7389
19,11495
20,17242
21,25864
22,39001
23,58297
24,87446
25,131375
26,197472
27,296004
28,444211
29,666317
30,1001734
31,1501288
32,2259568
33,3412548
34,5233816
35,8082519
36,12302121
37,18804856
38,28228715
39,42818322
40,64598741
41,97398651
42,146455317
43,220198171
44,333023288
45,506768154
46,760146811
47,1125816711
48,1706609601
49,2582910079
50,3847147294
51,5824132114
